,id,text,label,label_text,Llama_405B_reason,Llama_405B_label_text,Llama_405B_label,Deepseek_V3_reason,Deepseek_V3_label_text,Deepseek_V3_label
12,74a76f6e0a,My Sharpie is running DANGERously low on ink,0,negative,"The text uses the word 'DANGERously' in a humorous way to express a concern about a minor issue, indicating a lighthearted and playful tone, which is more positive than negative",positive,2,"The text uses a playful tone to describe a Sharpie running low on ink, but it does not express strong positive or negative emotions.",neutral,1
13,04dd1d2e34,i want to go to music tonight but i lost my voice.,0,negative,"The text expresses a desire to go to a music event, indicating a positive interest, but also mentions a negative circumstance (losing their voice), which seems to be the dominant sentiment in this context",negative,0,"The text expresses a desire to attend a music event but also mentions the disappointment of losing one's voice, indicating a mixed sentiment leaning towards negative due to the frustration of not being able to fully enjoy the event.",negative,0
14,bbe3cbf620,test test from the LG enV2,1,neutral,The text is a simple statement about testing from a specific device without expressing any emotion or opinion,neutral,1,"The text is a simple, factual statement about testing from a specific device without expressing any emotion or opinion",neutral,1
15,8a939bfb59,"Uh oh, I am sunburned",0,negative,"The text expresses a negative reaction to getting sunburned, indicated by the phrase 'Uh oh', which is a common expression of disappointment or concern",negative,0,"The text expresses mild concern or disappointment about being sunburned, indicating a negative sentiment",negative,0
16,3440297f8b," S`ok, trying to plot alternatives as we speak *sigh*",0,negative,"The text expresses a sense of resignation or frustration with the current situation, indicated by the *sigh*, suggesting a negative sentiment, although the initial 'S`ok' is a somewhat neutral or accepting statement, the overall tone is more negative",negative,0,"The text includes a sigh, which suggests some level of frustration or difficulty, indicating a negative sentiment",negative,0
17,919fa93391,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",0,negative,"The text mentions being sick and having hair that looks weird, which indicates a slightly negative sentiment, but the tone is more matter-of-fact than strongly negative, and the mention of a hat covering up the hair issue suggests a somewhat neutral or even slightly humorous tone",neutral,1,"The text mentions being sick and describes the hair as looking weird, which indicates a slightly negative sentiment, although it is not strongly negative.",negative,0
18,af3fed7fc3,is back home now      gonna miss every one,0,negative,"The text expresses a sentiment of missing people, indicating a negative emotion, although it's a mild one and the person is also relieved to be back home",negative,0,"The text expresses a feeling of missing others, which indicates a sense of sadness or longing, suggesting a negative sentiment",negative,0
19,40e7becabf,Hes just not that into you,1,neutral,"The text is a phrase that is often used to convey a negative sentiment about someone's lack of interest in a romantic relationship, implying rejection or dismissal",negative,0,The text is a straightforward statement that does not express any particular emotion or judgment. It simply conveys a fact without positive or negative sentiment.,neutral,1
20,04d17ef61e," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",1,neutral,"The text expresses sympathy and concern for someone, using phrases like 'I'm so sorry' and 'I hope you find her soon', and includes heart symbols to convey emotional support, indicating a positive sentiment",positive,2,"The text expresses sympathy and a hopeful wish, indicating concern and a positive sentiment towards the situation",positive,2
21,e48b0b8a23,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,2,positive,"The text expresses enthusiasm and interest in playing Ghost Online, specifically mentioning new updates and a desired pet, indicating a positive sentiment",positive,2,"The text expresses excitement and interest in the game and its updates, particularly the anticipation of getting a dragon pet, indicating a positive sentiment",positive,2
22,7de057cf40,is cleaning the house for her family who is comming later today..,1,neutral,"The text is a simple statement about an action without expressing any emotion or opinion, it is a factual report about someone's activity",neutral,1,"The text describes an activity being performed in preparation for family arriving, without expressing any specific emotion or opinion",neutral,1
23,9ce5570064,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,1,neutral,"The text expresses frustration and disappointment about having to restart the computer, indicating that the user's expectation of Windows 7 was not met, which suggests a negative sentiment",negative,0,"The text expresses frustration and dissatisfaction with the need to restart the computer, indicating a negative sentiment",negative,0
24,0c8cc71c46,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,1,neutral,"The text expresses frustration and disappointment, indicated by the use of 'smH' (shaking my head) and the mention of 'LoSe f0LloWeRs FridAy', which implies a negative sentiment towards losing followers",negative,0,"The text expresses frustration or disappointment about losing followers on Fridays, indicating a negative sentiment.",negative,0
25,e00c6ef376,"the free fillin` app on my ipod is fun, im addicted",2,positive,"The text expresses enjoyment and addiction to the free fillin' app, indicating a positive sentiment",positive,2,"The text expresses enjoyment and addiction to the app, which indicates a positive sentiment.",positive,2
26,852edc3769,  I`m sorry.,0,negative,"The text expresses regret or apology, which is typically associated with a negative sentiment or a recognition of a mistake, but in this context, it's more of a neutral expression of regret without clear negative emotions",neutral,1,"The text expresses an apology, which generally conveys a sense of regret or remorse, indicating a negative sentiment",negative,0
27,bdc32ea43c,On the way to Malaysia...no internet access to Twit,0,negative,"The text is a simple statement about traveling to Malaysia and not having internet access, without expressing any emotion or opinion",neutral,1,The text states a fact about traveling and the lack of internet access without expressing any particular emotion or opinion.,neutral,1
28,6ce4a4954b,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,2,positive,"The text expresses excitement and enjoyment about a recent trip to Berkeley, using enthusiastic language and phrases like 'omg its madd fun out there', indicating a positive sentiment",positive,2,"The text expresses excitement and enjoyment about the experience in Berkeley, using phrases like 'omg its madd fun out there' and 'havent been out there in a minute', indicating a positive sentiment",positive,2
29,d22e6d40a7,Went to sleep and there is a power cut in Noida  Power back up not working too,0,negative,"The text reports a problem (power cut) and an additional issue (power back up not working), indicating a negative experience",negative,0,"The text describes a situation where the power is out and the backup is not functioning, which is frustrating and inconvenient, indicating a negative sentiment",negative,0
30,d33f811375,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,2,positive,"The text mentions going home in a neutral tone, but then expresses pride and satisfaction with their new Twitter design, using the word 'heavenly' which has a strong positive connotation",positive,2,"The text expresses excitement and pride about a new Twitter design, using positive language like 'heavenly'",positive,2
31,7d8c4c11e4,i hope unni will make the audition . fighting dahye unni !,2,positive,"The text expresses hope and encouragement for someone to succeed in an audition, using supportive language and a cheering tone",positive,2,"The text expresses support and encouragement for 'unni' to succeed in an audition, indicating a positive sentiment",positive,2
32,1c31703aef, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,0,negative,"The text initially expresses a negative sentiment with the mention of being 'obesed', but the tone quickly shifts to a more lighthearted and dismissive tone with the use of 'hahaha' and the phrase 'so much for being unhappy for about 10 minutes', indicating that the speaker is not taking the result seriously and is instead choosing to laugh it off, overall indicating a more neutral sentiment",neutral,1,"The text includes a humorous tone when discussing the BMI test result and mentions being unhappy for only a short period, which suggests a light-hearted and somewhat positive outlook despite the obesity mention.",positive,2
33,2dc51711bc, That`s very funny.  Cute kids.,2,positive,"The text expresses amusement and affection towards the kids, using positive adjectives like 'funny' and 'cute', indicating a positive sentiment",positive,2,"The text expresses amusement and admiration for the kids, indicating a positive sentiment",positive,2
34,d21ab5855b," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",1,neutral,"The text expresses disappointment about sleeping through the game, but then shifts to a positive intention to watch the next game and a hopeful sentiment about the opponent, indicating a neutral overall sentiment",neutral,1,"The text expresses disappointment about sleeping through the game but also shows a positive intention to watch it tomorrow and hope for a specific matchup, indicating a mix of emotions but leaning slightly towards positive due to the hopeful tone",positive,2
35,4f5267ad70,"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4",1,neutral,"The text appears to be a neutral statement announcing the end of something and referencing a music-related topic, without expressing any clear emotion or opinion, despite the phrase 'Tears for Fears' which is a band name and does not indicate sadness in this context",neutral,1,"The text mentions 'the end' and 'tears', which could suggest a negative sentiment, but it also references music (Tears for Fears vs Eric Prydz, DJ Hero), which could be neutral or positive depending on context. Without additional emotional context, the sentiment remains unclear and is best classified as neutral.",neutral,1
36,2724775d6b,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,0,negative,"The text expresses a sense of longing and nostalgia for NYC, indicating a slightly negative sentiment due to the speaker missing their hometown, despite neutral statements about their background and current location",negative,0,"The text expresses a sense of nostalgia and longing for New York, which indicates a negative sentiment due to the feeling of missing something.",negative,0
37,1cbc812ece,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",1,neutral,"The text mentions being busy, but in a neutral context of explaining their workload and promising updates, which is a neutral statement, and the tone is informative rather than emotional, with a hint of anticipation ('stay tuned') that is not strongly positive or negative",neutral,1,"The text informs about being busy and adding new content, which is a factual statement without expressing any particular emotion or opinion",neutral,1
38,4b61dffbeb,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,0,negative,"The text expresses a mix of emotions, including sleepiness and sadness about the last day of school, but the overall tone is melancholic and nostalgic, indicating a slightly negative sentiment",negative,0,"The text expresses a feeling of being very sleepy and includes a sentimental note about the last day of school, which suggests a mix of tiredness and a hint of nostalgia. The overall sentiment leans towards a neutral expression of personal state without strong positive or negative emotions.",neutral,1
39,2863f435bd,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",2,positive,"The text expresses happiness and love for the day, indicating a positive sentiment, with phrases like 'A little happy', 'i love this day', and laughter expressions like 'jeje' and 'jaja'",positive,2,"The text expresses happiness and enjoyment during free time, indicating a positive sentiment",positive,2
40,d93afa85cf," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",1,neutral,"The text expresses concern and worry about a car's condition, specifically a big dent, and the potential financial consequence of it being written off, indicating a negative sentiment",negative,0,"The text expresses concern and worry about the car's damage and the possibility of it being written off, indicating a negative sentiment",negative,0
41,fab6b7d16c,im an avid fan of **** magazine and i love your magazines,2,positive,"The text expresses enthusiasm and admiration for the magazine, using phrases like 'avid fan' and 'i love', indicating a positive sentiment",positive,2,"The text expresses strong enthusiasm and love for the magazines, indicating a positive sentiment",positive,2
42,2e7082d1c8,MAYDAY?!,1,neutral,"The text is an expression of distress or urgency, often used in emergency situations, indicating a negative sentiment",negative,0,"The text is a single word, 'MAYDAY,' which is a distress signal. It conveys urgency and a call for help, indicating a negative sentiment",negative,0
43,684081e4e7,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",1,neutral,"The text expresses excitement and enthusiasm about the RATT concert, using words like 'ROCKED' and 'FUN SHOW', and also compliments the lead singer's appearance, but mentions one negative aspect which is the lack of an encore, however the overall tone is overwhelmingly positive",positive,2,"The text expresses a mixed sentiment. It starts with enthusiasm about the band RATT rocking Nashville, which is positive. However, it also mentions disappointment about the lack of an encore, which is negative. The concluding statement about the show being fun and the lead singer's appearance is positive. Overall, the text has both positive and negative elements, but the positive sentiment is more dominant.",positive,2
44,c77717b103, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.í¿ŒËŒ?,2,positive,"The text expresses enthusiasm and willingness to help, using positive language such as 'I love to' and 'Would love to help', indicating a positive sentiment",positive,2,"The text expresses willingness and enthusiasm to help, indicating a positive sentiment",positive,2
45,a9d499e123,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,1,neutral,"The text expresses a rhetorical question that implies the speaker feels old because someone offered to trim their eyebrows, which is typically associated with older adults. The tone is humorous and ironic, but the underlying sentiment is slightly negative, as it implies the speaker is uncomfortable with being perceived as older.",negative,0,"The text expresses a sense of surprise or mild discomfort regarding the question about trimming eyebrows, but it does not explicitly convey a strong positive or negative sentiment. It is more of a rhetorical question reflecting the speaker's feelings about their perceived age.",neutral,1
46,ddf296dffa,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,0,negative,"The text expresses strong negative emotions about having a hangover, not wanting to go to work, and feeling like a 'drunk mess', indicating a clear negative sentiment",negative,0,"The text expresses dissatisfaction and frustration about going to work and dealing with a hangover, indicating a negative sentiment",negative,0
47,c3924dc9e4,:visiting my friendster and facebook,1,neutral,The text is a simple statement about visiting social media platforms without expressing any emotion or opinion,neutral,1,The text is a simple statement about visiting social media platforms without expressing any emotion or opinion,neutral,1
48,3d9d4b0b55,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",0,negative,"The text lists several things the author does not like, including peeling prawns, going shopping, running out of money, and crawling around a car, indicating a negative sentiment towards these activities",negative,0,"The text expresses dislike for several activities, including peeling prawns, going shopping, running out of money, and searching for money in the car, indicating a negative sentiment",negative,0
49,3fcea4debc, which case? I got a new one last week and I`m not thrilled at all with mine.,0,negative,"The text expresses dissatisfaction with a new case, using the phrase 'not thrilled at all', which indicates a negative sentiment",negative,0,"The text expresses dissatisfaction with a recently acquired item, indicating a negative sentiment",negative,0
50,a3ae670885, Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,1,neutral,"The text suggests visiting a website called 'twittersucks.com' and connecting with others who hate Twitter, indicating a negative sentiment towards Twitter",negative,0,"The text promotes a website critical of Twitter and suggests connecting with others who dislike the platform, indicating a negative sentiment towards Twitter",negative,0
51,15d5f3a41b," also bored at school, its my third freelesson( freistunde )",1,neutral,"The text expresses boredom, which is a negative emotional state, but also mentions having a free lesson, which might be seen as slightly positive, however, the overall tone is more negative due to the emphasis on boredom",negative,0,"The text expresses a feeling of boredom and mentions having a free lesson, which does not convey strong positive or negative emotions but rather a neutral state of being",neutral,1
52,3c4a21b2cb, hm... Both of us I guess...,1,neutral,"The text is a hesitant and somewhat ambiguous statement that doesn't express a clear emotion or opinion, but rather a neutral acknowledgment or consideration",neutral,1,The text is a vague and non-committal statement that does not express any clear emotion or opinion,neutral,1
53,11084dac09, it is ****...u have dissappointed me that past few days,0,negative,"The text expresses strong disappointment and frustration, using emphatic language to convey a negative sentiment",negative,0,"The text expresses strong disapproval and disappointment with the use of explicit language and a direct statement of being let down, indicating a negative sentiment",negative,0
54,d8ba2a99a9, romance zero is funny,2,positive,"The text expresses amusement about 'romance zero', indicating a positive sentiment",positive,2,"The text expresses a positive opinion about 'romance zero', describing it as funny, which indicates a positive sentiment",positive,2
55,e77fd45003, I`d rather do the early run..but I am a morning runner,1,neutral,"The text expresses a preference for doing an early run, which aligns with the speaker's identity as a morning runner, indicating a positive sentiment towards running in the morning",positive,2,"The text expresses a preference for an early run and identifies as a morning runner, which conveys a positive sentiment towards the activity.",positive,2
56,b159318d76,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,0,negative,"The text expresses frustration and physical pain caused by a coworker's action, indicating a negative sentiment",negative,0,"The text describes an unfortunate incident where a coworker caused physical discomfort, indicating a negative sentiment",negative,0
57,6086b1f016,will be back later.  http://plurk.com/p/rp3k7,1,neutral,"The text is a simple statement of an action without any emotional context, and the link provided does not add any sentiment to the statement",neutral,1,The text is a straightforward statement about returning later and includes a link without expressing any emotion or opinion,neutral,1
58,703afdc44b,Aw. Torn ace of hearts  #Hunchback,0,negative,"The text expresses a sentimental and possibly sad reaction to something related to the 'ace of hearts' and associates it with the 'Hunchback', which might imply a sense of melancholy or sympathy, indicating a negative sentiment",negative,0,"The text expresses a mild sense of disappointment or sadness about the torn ace of hearts, indicating a negative sentiment",negative,0
59,90f3d2b572, what fun are you speaking of?,1,neutral,"The text is a neutral inquiry, expressing curiosity about the type of fun being referred to, without conveying any particular sentiment",neutral,1,"The text is a question that appears skeptical or questioning the notion of fun, suggesting a negative or doubtful sentiment",negative,0
60,52483f7da8,"i lost all my friends, i`m alone and sleepy..i wanna go home",0,negative,"The text expresses feelings of loneliness, loss, and a desire to escape their current situation, indicating a negative sentiment",negative,0,"The text expresses feelings of loss, loneliness, and tiredness, indicating a negative sentiment",negative,0
61,a4b0888da6, haha yes,1,neutral,"The text is a brief expression of amusement or agreement, indicated by the laughter ('haha') and the affirmative ('yes'), suggesting a positive sentiment",positive,2,"The text includes 'haha' which suggests amusement or light-heartedness, and 'yes' which is affirmative, indicating a positive sentiment",positive,2
62,2a9765b7f9,I give in to easily,0,negative,"The text expresses a self-critical sentiment, implying that the speaker views their tendency to give in easily as a negative trait",negative,0,"The text expresses self-criticism or dissatisfaction with one's own behavior, indicating a negative sentiment",negative,0
63,90a2cdb657,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,2,positive,"The text describes a pleasant scenario of spoiling one's mum with a nice meal and her favorite wine, indicating a positive sentiment",positive,2,"The text is suggesting a positive and thoughtful way to treat someone (mum) by allowing her to relax with a meal and wine, which conveys a positive sentiment.",positive,2
64,98f25bc596,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,0,negative,"The text expresses jealousy towards someone who got an iPhone, indicating a negative sentiment",negative,0,"The text expresses a clear feeling of jealousy towards someone who has an iPhone, indicating a negative sentiment",negative,0
65,23e1f7dca4,Is at a photoshoot.,1,neutral,The text is a simple statement of an action or location without any emotional context,neutral,1,The text is a factual statement about being at a photoshoot without expressing any emotion or opinion,neutral,1
66,95e12b1cb1,  He`s awesome... Have you worked with him before? He`s a good friend.,2,positive,"The text expresses admiration and affection for the person being referred to, using positive adjectives such as 'awesome' and 'good friend', indicating a positive sentiment",positive,2,"The text expresses admiration and positive feelings towards the person being described, using words like 'awesome' and 'good friend'",positive,2
67,c34feef039,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,1,neutral,"The text expresses both positive (Yay playing a show tonight!) and negative (Boo it's gonna soggy and I'm at work right before playing) sentiments, but overall the excitement about the show seems to be slightly outweighed by the negative aspects, however since the negative part is not significantly stronger than the positive one, we can consider the overall sentiment of the text as neutral",neutral,1,"The text expresses both excitement ('Yay playing a show tonight!') and disappointment ('Boo it's gonna soggy and I'm at work right before playing'), creating a mixed sentiment. However, the initial positive excitement slightly outweighs the negative aspect, leading to an overall positive sentiment.",positive,2
68,fa2654e730,Chilliin,2,positive,"The text is a casual expression of relaxation without expressing any particular emotion or opinion, it's a colloquialism that implies a calm and peaceful state",neutral,1,The text is a single word without any context or emotional expression,neutral,1
69,187494c25b," If you know such agent, do let me know",1,neutral,"The text is a polite inquiry without expressing any particular sentiment, it's a neutral request for information",neutral,1,The text is a neutral request for information without expressing any particular emotion or opinion,neutral,1
70,4213627c3c,I still smell of smoke  #kitchenfire,1,neutral,"The text mentions a kitchen fire, which is a negative event, and the speaker is still smelling of smoke, indicating a lingering unpleasant consequence",negative,0,"The text mentions a lingering smell of smoke due to a kitchen fire, which could be concerning or unpleasant, indicating a negative sentiment.",negative,0
71,a4e00d4d26, a celtics-lakers rematch sounds better don`t you think? lol,2,positive,"The text expresses a mild opinion with a hint of humor, suggesting a preference for a Celtics-Lakers rematch, but the tone is casual and not strongly emotive, however the use of 'sounds better' and 'lol' indicates a slightly positive leaning",positive,2,"The text suggests a preference for a Celtics-Lakers rematch in a light-hearted manner, indicating a positive sentiment",positive,2
72,04e2e334de,"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",1,neutral,"The text is a polite inquiry with a friendly offer, but the tone is more of a request than an expression of strong emotion, and the overall sentiment is not strongly positive or negative",neutral,1,"The text is a request for a ticket with an offer to buy a drink and take photos, which is presented in a friendly and positive manner, indicating a positive sentiment",positive,2
73,0c4aa867d0,"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",1,neutral,"The text expresses a playful and enthusiastic tone, building up to a satisfying action ('pop open one') associated with the start of summer, suggesting a positive sentiment",positive,2,"The text is a playful statement about summer activities and does not express any strong positive or negative emotions, making it neutral in sentiment.",neutral,1
74,a6c61eac26, she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,1,neutral,"The text expresses a positive opinion about someone ('she is good!') and uses enthusiastic language ('so gor-juz'), indicating a positive sentiment",positive,2,"The text expresses admiration and positivity towards the person described, using phrases like 'she is good' and 'so gor-juz'",positive,2
75,94bd67443c,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,1,neutral,"The text is a casual and informal statement about leaving and possibly returning later, without expressing any strong emotions or opinions",neutral,1,"The text is a casual statement about leaving and checking in, without expressing any strong emotion or opinion",neutral,1
76,35f393a245,"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",0,negative,"The text expresses a strong feeling of missing one's family, using words like 'WOW' and 'BADDD' to emphasize the intensity of the emotion, indicating a negative sentiment due to the longing and separation",negative,0,"The text expresses strong emotions of missing family and uses exaggerated language ('WOW', 'REALLY', 'BADDD'), which indicates a negative sentiment",negative,0
77,b2c9f115b1, My sources say no,1,neutral,"The text is a statement of information from the speaker's sources, without expressing any emotion or opinion, and the word 'no' in this context is more of a factual report than a negative judgment",neutral,1,"The text is a straightforward statement without any emotional expression or opinion, simply conveying information.",neutral,1
78,0a61cbf4b5,I am sooo tired,0,negative,"The text expresses a strong feeling of fatigue, which is a negative emotional state",negative,0,"The text expresses a strong feeling of fatigue, indicating a negative sentiment",negative,0
79,ee9ec7a5a4," Hey, you change your twitter account, and you didn`t even tell me...",1,neutral,"The text expresses a sense of surprise and possibly slight hurt or disappointment that the person was not informed about the change, indicating a negative sentiment",negative,0,"The text expresses disappointment or frustration about the lack of communication regarding a change in the Twitter account, indicating a negative sentiment",negative,0
80,bbbc46889b, THANK YYYYYYYYYOOOOOOOOOOUUUUU!,2,positive,"The text is an enthusiastic and exaggerated expression of gratitude, indicating a strong positive sentiment",positive,2,"The text uses capital letters and multiple exclamation points to express strong gratitude, indicating a positive sentiment",positive,2
81,58d382e07a, lucky kid...i so wanna see loserville  pity im in oz....,2,positive,"The text expresses a desire to see 'Loserville' and describes someone as 'lucky', indicating a positive sentiment. However, it also mentions a pity about being in a different location, which slightly adds a tone of disappointment, but overall the sentiment leans towards being positive",positive,2,"The text expresses a desire to see 'loserville' and a sense of regret or disappointment about being in 'oz', which indicates a slightly negative sentiment",negative,0
82,cb4d439ebc,fell asleep waiting for my ride!,1,neutral,"The text expresses frustration or disappointment about falling asleep while waiting for a ride, indicating a negative sentiment",negative,0,The text is a factual statement about falling asleep without expressing any particular emotion or opinion,neutral,1
83,64ed512788,Sick. With a flu like thing.,0,negative,"The text describes being sick with a flu-like illness, which is an unpleasant and undesirable state, indicating a negative sentiment",negative,0,"The text expresses discomfort and illness, which conveys a negative sentiment",negative,0
84,4cd390c007,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",0,negative,"The text expresses frustration and disappointment about not receiving a reply, and also apologizes for not being able to provide a video, indicating a negative sentiment",negative,0,"The text expresses frustration about not receiving a reply and disappointment about the delay in creating a parody video, indicating a negative sentiment",negative,0
85,3d2fcd78c8,Happy Star Wars day everyone! and Enjoy the holiday (UK),2,positive,"The text expresses a celebratory tone and wishes enjoyment for a holiday, indicating a positive sentiment",positive,2,"The text conveys well-wishes and encourages enjoyment of the holiday, indicating a positive sentiment",positive,2
86,0c0563423e, Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,1,neutral,"The text mentions looking forward to getting free beers and makes a logistical request to arrive on time, indicating a positive expectation and interest",positive,2,"The text mentions a plan to arrive in time for free beers, which suggests anticipation and a positive outlook towards the event",positive,2
87,cd0d522bb1,"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",1,neutral,"The text expresses frustration and annoyance about the snoring, but also affection and love for the person, indicating a mix of emotions. However, the overall tone is lighthearted and playful, and the statement 'I love him' suggests a stronger positive sentiment than the negative sentiment expressed about the snoring.",positive,2,"The text initially expresses frustration about the snoring, but it concludes with a strong positive sentiment about loving the person and missing the snoring if it were gone.",positive,2
88,bffa3ddd61,i miss you bby      wish you were going tomorrow to make me do good.,0,negative,"The text expresses a sentimental longing for someone and wishes for their presence to provide motivation, indicating a positive sentiment towards the person but also a sense of current absence or separation, which carries a negative undertone",negative,0,"The text expresses a longing and desire for someone's presence to positively influence the speaker's performance, indicating a positive sentiment",positive,2
89,9339ee8e0b, Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,2,positive,"The text expresses enthusiasm about a new script being coded, using the word 'cool' to describe it, indicating a positive sentiment, although it also mentions that it's not ready to be shared publicly, which slightly tempers the excitement, but overall the tone is optimistic",positive,2,"The text mentions ongoing beta testing and describes the new script as cool, indicating a positive sentiment towards the project",positive,2
90,a76f9cf8ce, SWEEEEET - San Fran is awesome!!!!  Love it there,2,positive,"The text expresses extreme enthusiasm and love for San Francisco, using superlatives and multiple exclamation marks, indicating a strongly positive sentiment",positive,2,"The text uses enthusiastic language and exclamation marks to express strong positive feelings about San Francisco, indicating a positive sentiment",positive,2
